DATAFLOW,REF_AREA,EDUCATION_LEV,MEASURE,EDUCATION_TYPE,INTENSITY,EDUCATION_FIELD,GRADE,FREQ,ORIGIN,DESTINATION,INST_TYPE_EDU,MOBILITY,UNIT_MEASURE,SEX,AGE,TIME_PERIOD,OBS_VALUE,REF_YEAR_AGES,ORIGIN_CRITERION,REPYEARSTART,REPYEAREND,OBS_STATUS,CONF_STATUS,COMMENT_OBS,DECIMALS,TIME_PER_COLLECT,UNIT_MULT
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),CHE,ISCED11_2,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2019,257495,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),CHE,ISCED11_2,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2018,256131,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),CHE,ISCED11_2,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2017,256176,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),CHE,ISCED11_2,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2016,257491,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),CHE,ISCED11_2,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2015,261629,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),CHE,ISCED11_2,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2014,265200,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),CHE,ISCED11_2,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2013,296903,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),GBR,ISCED11_6,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2022,1940158.00598844,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),GBR,ISCED11_6,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2021,1844555,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),GBR,ISCED11_6,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2020,1732844,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),GBR,ISCED11_6,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2019,1689177,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),GBR,ISCED11_6,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2018,1620993,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),GBR,ISCED11_6,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2017,1597284,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),GBR,ISCED11_6,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2016,1563490,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),GBR,ISCED11_6,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2015,1523902,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),GBR,ISCED11_6,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2014,1532677,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),PRT,ISCED11_2,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2016,374514,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),SVK,ISCED11_35,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2021,122434,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),BGR,ISCED11_0,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2021,215666,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),BGR,ISCED11_0,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2020,217867,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),BGR,ISCED11_0,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2019,218767,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),BGR,ISCED11_0,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2018,220877,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),BGR,ISCED11_0,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2017,224380,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),BGR,ISCED11_0,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2016,232025,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),BGR,ISCED11_0,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2015,241123,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),BGR,ISCED11_0,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2014,240622,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),BGR,ISCED11_0,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2013,235015,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),LTU,ISCED11_2,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2022,174051,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),LTU,ISCED11_2,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2021,167514,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),LTU,ISCED11_2,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2020,164579,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),LTU,ISCED11_2,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2019,162768,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),LTU,ISCED11_2,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2018,164367,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),LTU,ISCED11_2,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2017,169083,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),LTU,ISCED11_2,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2016,175453,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),LTU,ISCED11_2,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2015,182697,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),LTU,ISCED11_2,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2014,190914,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),LTU,ISCED11_2,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2013,203027,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),COL,ISCED11_7,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2022,172167,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),COL,ISCED11_7,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2021,175493,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),COL,ISCED11_7,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2020,156758,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),COL,ISCED11_7,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2019,153629,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),COL,ISCED11_7,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2018,157581,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),COL,ISCED11_7,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2017,159612,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),COL,ISCED11_7,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2016,154124,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),COL,ISCED11_3,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2022,1444915,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),COL,ISCED11_3,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2021,1440832,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),COL,ISCED11_3,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2020,1390305,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),COL,ISCED11_3,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2019,1389579,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),COL,ISCED11_3,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2018,1359238,,,,,A,,,0,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_RAW_AGE(1.0),COL,ISCED11_3,ENRL,FE,_T,_T,_T,A,_Z,_Z,INST_EDU,_T,PS,_T,_T,2017,1360253,,,,,A,,,0,,0
