DATAFLOW,REF_AREA,MEASURE,UNIT_MEASURE,SEX,AGE,TIME_HORIZ,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,DECIMALS
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),AUT,POP,PS,_T,Y_GE65,H,2019,1681523,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),AUT,POP,PS,_T,Y_GE65,H,2020,1707773,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),AUT,POP,PS,_T,Y_GE65,H,2021,1733049,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),AUT,POP,PS,_T,Y_GE65,H,2022,1765550,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),BEL,POP,PS,_T,Y15T64,H,2010,7179723,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),BEL,POP,PS,_T,Y15T64,H,2011,7225040,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),BEL,POP,PS,_T,Y15T64,H,2012,7246905,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),BEL,POP,PS,_T,Y15T64,H,2013,7258956,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),BEL,POP,PS,_T,Y15T64,H,2014,7268181,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),BEL,POP,PS,_T,Y15T64,H,2015,7283749,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),BEL,POP,PS,_T,Y15T64,H,2016,7300061,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),BEL,POP,PS,_T,Y15T64,H,2017,7312259,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),BEL,POP,PS,_T,Y15T64,H,2018,7325392,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),BEL,POP,PS,_T,Y15T64,H,2019,7342747,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),BEL,POP,PS,_T,Y15T64,H,2020,7357957,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),BEL,POP,PS,_T,Y15T64,H,2021,7376439,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),BEL,POP,PS,_T,Y15T64,H,2022,7422214,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),IRL,POP,PS,_T,Y10T14,H,2010,296109,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),IRL,POP,PS,_T,Y10T14,H,2011,301039,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),IRL,POP,PS,_T,Y10T14,H,2012,304540,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),IRL,POP,PS,_T,Y10T14,H,2013,307861,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),IRL,POP,PS,_T,Y10T14,H,2014,310056,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),IRL,POP,PS,_T,Y10T14,H,2015,314441,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),IRL,POP,PS,_T,Y10T14,H,2016,318856,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),IRL,POP,PS,_T,Y10T14,H,2017,323308,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),IRL,POP,PS,_T,Y10T14,H,2018,332585,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),IRL,POP,PS,_T,Y10T14,H,2019,341419,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),IRL,POP,PS,_T,Y10T14,H,2020,350016,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),IRL,POP,PS,_T,Y10T14,H,2021,358010,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),IRL,POP,PS,_T,Y10T14,H,2022,366302,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),USA,POP,PS,_T,Y80T84,H,2010,5758473,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),USA,POP,PS,_T,Y80T84,H,2011,5777780,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),USA,POP,PS,_T,Y80T84,H,2012,5779258,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),USA,POP,PS,_T,Y80T84,H,2013,5762340,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),USA,POP,PS,_T,Y80T84,H,2014,5755948,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),USA,POP,PS,_T,Y80T84,H,2015,5793729,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),USA,POP,PS,_T,Y80T84,H,2016,5868617,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),USA,POP,PS,_T,Y80T84,H,2017,5959787,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),USA,POP,PS,_T,Y80T84,H,2018,6121394,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),USA,POP,PS,_T,Y80T84,H,2019,6315100,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),USA,POP,PS,_T,Y80T84,H,2020,6288784,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),USA,POP,PS,_T,Y80T84,H,2021,6422252,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),USA,POP,PS,_T,Y80T84,H,2022,6659545,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CZE,POP,PS,_T,Y15T19,H,2010,599205,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CZE,POP,PS,_T,Y15T19,H,2011,560122,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CZE,POP,PS,_T,Y15T19,H,2012,525652,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CZE,POP,PS,_T,Y15T19,H,2013,494941,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CZE,POP,PS,_T,Y15T19,H,2014,471447,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CZE,POP,PS,_T,Y15T19,H,2015,460516,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CZE,POP,PS,_T,Y15T19,H,2016,458382,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CZE,POP,PS,_T,Y15T19,H,2017,460220,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CZE,POP,PS,_T,Y15T19,H,2018,464642,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CZE,POP,PS,_T,Y15T19,H,2019,472567,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CZE,POP,PS,_T,Y15T19,H,2020,484332,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CZE,POP,PS,_T,Y15T19,H,2021,494683,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CZE,POP,PS,_T,Y15T19,H,2022,536309,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),SVK,POP,PS,_T,Y45T49,H,2010,380371,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),SVK,POP,PS,_T,Y45T49,H,2011,373723,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),SVK,POP,PS,_T,Y45T49,H,2012,369345,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),SVK,POP,PS,_T,Y45T49,H,2013,363299,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),SVK,POP,PS,_T,Y45T49,H,2014,356697.5,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),SVK,POP,PS,_T,Y45T49,H,2015,353349.5,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),SVK,POP,PS,_T,Y45T49,H,2016,354250,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),SVK,POP,PS,_T,Y45T49,H,2017,360909.5,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),SVK,POP,PS,_T,Y45T49,H,2018,373844.5,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),SVK,POP,PS,_T,Y45T49,H,2019,390129.5,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),SVK,POP,PS,_T,Y45T49,H,2020,406383,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),SVK,POP,PS,_T,Y45T49,H,2021,422289.5,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),SVK,POP,PS,_T,Y45T49,H,2022,435023,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),NLD,POP,PS,_T,Y45T49,H,2010,1293426,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),NLD,POP,PS,_T,Y45T49,H,2011,1297799,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),NLD,POP,PS,_T,Y45T49,H,2012,1294663,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),NLD,POP,PS,_T,Y45T49,H,2013,1288752,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),NLD,POP,PS,_T,Y45T49,H,2014,1285699,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),NLD,POP,PS,_T,Y45T49,H,2015,1286329,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),NLD,POP,PS,_T,Y45T49,H,2016,1284666,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),NLD,POP,PS,_T,Y45T49,H,2017,1275706,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),NLD,POP,PS,_T,Y45T49,H,2018,1252270,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),NLD,POP,PS,_T,Y45T49,H,2019,1210893,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),NLD,POP,PS,_T,Y45T49,H,2020,1159321,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),NLD,POP,PS,_T,Y45T49,H,2021,1110513,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),NLD,POP,PS,_T,Y45T49,H,2022,1075185,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CHE,POP,PS,_T,Y_GE85,H,2010,182793,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CHE,POP,PS,_T,Y_GE85,H,2011,181683,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CHE,POP,PS,_T,Y_GE85,H,2012,187012,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CHE,POP,PS,_T,Y_GE85,H,2013,191694,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CHE,POP,PS,_T,Y_GE85,H,2014,197185,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CHE,POP,PS,_T,Y_GE85,H,2015,202785,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CHE,POP,PS,_T,Y_GE85,H,2016,208472,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CHE,POP,PS,_T,Y_GE85,H,2017,214359,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CHE,POP,PS,_T,Y_GE85,H,2018,219981,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CHE,POP,PS,_T,Y_GE85,H,2019,225989,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CHE,POP,PS,_T,Y_GE85,H,2020,230181,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CHE,POP,PS,_T,Y_GE85,H,2021,234041,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CHE,POP,PS,_T,Y_GE85,H,2022,238571,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),ROU,POP,PS,_T,Y15T64,H,2010,13779545,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),ROU,POP,PS,_T,Y15T64,H,2011,13707283,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),ROU,POP,PS,_T,Y15T64,H,2012,13646880,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),ROU,POP,PS,_T,Y15T64,H,2013,13590056,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),ROU,POP,PS,_T,Y15T64,H,2014,13485932,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),ROU,POP,PS,_T,Y15T64,H,2015,13338290,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),ROU,POP,PS,_T,Y15T64,H,2016,13176547,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),ROU,POP,PS,_T,Y15T64,H,2017,13010038,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),ROU,POP,PS,_T,Y15T64,H,2018,12851897,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),ROU,POP,PS,_T,Y15T64,H,2019,12707836,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),ROU,POP,PS,_T,Y15T64,H,2020,12554808,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),ROU,POP,PS,_T,Y15T64,H,2021,12402419,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),ROU,POP,PS,_T,Y15T64,H,2022,12145386,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),AUS,POP,PS,_T,Y45T49,H,2010,1554804,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),AUS,POP,PS,_T,Y45T49,H,2011,1541837,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),AUS,POP,PS,_T,Y45T49,H,2012,1533749,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),AUS,POP,PS,_T,Y45T49,H,2013,1531499,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),AUS,POP,PS,_T,Y45T49,H,2014,1539898,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),AUS,POP,PS,_T,Y45T49,H,2015,1561830,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),AUS,POP,PS,_T,Y45T49,H,2016,1604930,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),AUS,POP,PS,_T,Y45T49,H,2017,1649998,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),AUS,POP,PS,_T,Y45T49,H,2018,1675846,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),AUS,POP,PS,_T,Y45T49,H,2019,1683649,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),AUS,POP,PS,_T,Y45T49,H,2020,1682976,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),AUS,POP,PS,_T,Y45T49,H,2021,1650035,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),AUS,POP,PS,_T,Y45T49,H,2022,1620920,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),IRL,POP,PS,_T,Y35T39,H,2010,359678,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),IRL,POP,PS,_T,Y35T39,H,2011,363089,A,0,0
