DATAFLOW,LOCATION,VARIABLE,SCENARIO,FREQUENCY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE,UNIT_MULT,BASE_PER
OECD:DF_EO114_LTB(1.0),SWE,GDP,S1,A,2054,22041310000000,A,,,
OECD:DF_EO114_LTB(1.0),CHE,GDP,S0,A,2054,2064147000000,A,,,
OECD:DF_EO114_LTB(1.0),CHE,GDP,S1,A,2054,2008533000000,A,,,
OECD:DF_EO114_LTB(1.0),TUR,GDP,S0,A,2054,517603700000000,A,,,
OECD:DF_EO114_LTB(1.0),TUR,GDP,S1,A,2054,478973500000000,A,,,
OECD:DF_EO114_LTB(1.0),GBR,GDP,S0,A,2054,8381322000000,A,,,
OECD:DF_EO114_LTB(1.0),GBR,GDP,S1,A,2054,8235815000000,A,,,
OECD:DF_EO114_LTB(1.0),USA,GDP,S0,A,2054,79181950000000,A,,,
OECD:DF_EO114_LTB(1.0),USA,GDP,S1,A,2054,76387190000000,A,,,
OECD:DF_EO114_LTB(1.0),G7M,GDP,S0,A,2054,143711500000000,A,,,
OECD:DF_EO114_LTB(1.0),G7M,GDP,S1,A,2054,139103900000000,A,,,
OECD:DF_EO114_LTB(1.0),ARG,GDP,S0,A,2054,6916084000000000,A,,,
OECD:DF_EO114_LTB(1.0),ARG,GDP,S1,A,2054,5914456000000000,A,,,
OECD:DF_EO114_LTB(1.0),BRA,GDP,S0,A,2054,67154210000000,A,,,
OECD:DF_EO114_LTB(1.0),BRA,GDP,S1,A,2054,63044320000000,A,,,
OECD:DF_EO114_LTB(1.0),BGR,GDP,S0,A,2054,678771400000,A,,,
OECD:DF_EO114_LTB(1.0),BGR,GDP,S1,A,2054,643852700000,A,,,
OECD:DF_EO114_LTB(1.0),CHL,GDP,S0,A,2054,1464780000000000,A,,,
OECD:DF_EO114_LTB(1.0),CHL,GDP,S1,A,2054,1418167000000000,A,,,
OECD:DF_EO114_LTB(1.0),CHN,GDP,S0,A,2054,613514100000000,A,,,
OECD:DF_EO114_LTB(1.0),CHN,GDP,S1,A,2054,568563400000000,A,,,
OECD:DF_EO114_LTB(1.0),COL,GDP,S0,A,2054,9941189000000000,A,,,
OECD:DF_EO114_LTB(1.0),COL,GDP,S1,A,2054,8696387000000000,A,,,
OECD:DF_EO114_LTB(1.0),CRI,GDP,S0,A,2054,257563800000000,A,,,
OECD:DF_EO114_LTB(1.0),CRI,GDP,S1,A,2054,253738800000000,A,,,
OECD:DF_EO114_LTB(1.0),HRV,GDP,S0,A,2054,227584100000,A,,,
OECD:DF_EO114_LTB(1.0),HRV,GDP,S1,A,2054,218427500000,A,,,
OECD:DF_EO114_LTB(1.0),EST,GDP,S0,A,2054,128795100000,A,,,
OECD:DF_EO114_LTB(1.0),EST,GDP,S1,A,2054,120770200000,A,,,
OECD:DF_EO114_LTB(1.0),IND,GDP,S0,A,2054,3920458000000000,A,,,
OECD:DF_EO114_LTB(1.0),IND,GDP,S1,A,2054,3497913000000000,A,,,
OECD:DF_EO114_LTB(1.0),IDN,GDP,S0,A,2054,1.576917E+17,A,,,
OECD:DF_EO114_LTB(1.0),IDN,GDP,S1,A,2054,1.42954E+17,A,,,
OECD:DF_EO114_LTB(1.0),ISR,GDP,S0,A,2054,8643302000000,A,,,
OECD:DF_EO114_LTB(1.0),ISR,GDP,S1,A,2054,8556694000000,A,,,
OECD:DF_EO114_LTB(1.0),LVA,GDP,S0,A,2054,104905700000,A,,,
OECD:DF_EO114_LTB(1.0),LVA,GDP,S1,A,2054,100402900000,A,,,
OECD:DF_EO114_LTB(1.0),LTU,GDP,S0,A,2054,192595900000,A,,,
OECD:DF_EO114_LTB(1.0),LTU,GDP,S1,A,2054,188212900000,A,,,
OECD:DF_EO114_LTB(1.0),ROU,GDP,S0,A,2054,5612073000000,A,,,
OECD:DF_EO114_LTB(1.0),ROU,GDP,S1,A,2054,5331725000000,A,,,
OECD:DF_EO114_LTB(1.0),SVN,GDP,S0,A,2054,193376800000,A,,,
OECD:DF_EO114_LTB(1.0),SVN,GDP,S1,A,2054,187736400000,A,,,
OECD:DF_EO114_LTB(1.0),ZAF,GDP,S0,A,2054,58903520000000,A,,,
OECD:DF_EO114_LTB(1.0),ZAF,GDP,S1,A,2054,49827390000000,A,,,
OECD:DF_EO114_LTB(1.0),G20,GDP,S0,A,2054,753519600000000,A,,,
OECD:DF_EO114_LTB(1.0),G20,GDP,S1,A,2054,681790700000000,A,,,
OECD:DF_EO114_LTB(1.0),EA17,GDP,S0,A,2054,38561980000000,A,,,
OECD:DF_EO114_LTB(1.0),EA17,GDP,S1,A,2054,37577160000000,A,,,
OECD:DF_EO114_LTB(1.0),OECD,GDP,S0,A,2054,290345700000000,A,,,
OECD:DF_EO114_LTB(1.0),OECD,GDP,S1,A,2054,278549800000000,A,,,
OECD:DF_EO114_LTB(1.0),G20ADV,GDP,S0,A,2054,158923000000000,A,,,
OECD:DF_EO114_LTB(1.0),G20ADV,GDP,S1,A,2054,153823200000000,A,,,
OECD:DF_EO114_LTB(1.0),G20EME,GDP,S0,A,2054,692503900000000,A,,,
OECD:DF_EO114_LTB(1.0),G20EME,GDP,S1,A,2054,608523300000000,A,,,
OECD:DF_EO114_LTB(1.0),OECDG20,GDP,S0,A,2054,797589900000000,A,,,
OECD:DF_EO114_LTB(1.0),OECDG20,GDP,S1,A,2054,725030000000000,A,,,
OECD:DF_EO114_LTB(1.0),AUS,GDP,S0,A,2059,15583470000000,A,,,
OECD:DF_EO114_LTB(1.0),AUS,GDP,S1,A,2059,14725310000000,A,,,
OECD:DF_EO114_LTB(1.0),AUT,GDP,S0,A,2059,1627454000000,A,,,
OECD:DF_EO114_LTB(1.0),AUT,GDP,S1,A,2059,1598510000000,A,,,
OECD:DF_EO114_LTB(1.0),BEL,GDP,S0,A,2059,1927812000000,A,,,
OECD:DF_EO114_LTB(1.0),BEL,GDP,S1,A,2059,1873731000000,A,,,
OECD:DF_EO114_LTB(1.0),CAN,GDP,S0,A,2059,11457190000000,A,,,
OECD:DF_EO114_LTB(1.0),CAN,GDP,S1,A,2059,10894540000000,A,,,
OECD:DF_EO114_LTB(1.0),CZE,GDP,S0,A,2059,26971940000000,A,,,
OECD:DF_EO114_LTB(1.0),CZE,GDP,S1,A,2059,26156250000000,A,,,
OECD:DF_EO114_LTB(1.0),DNK,GDP,S0,A,2059,8856079000000,A,,,
OECD:DF_EO114_LTB(1.0),DNK,GDP,S1,A,2059,8551811000000,A,,,
OECD:DF_EO114_LTB(1.0),FIN,GDP,S0,A,2059,894697700000,A,,,
OECD:DF_EO114_LTB(1.0),FIN,GDP,S1,A,2059,884135800000,A,,,
OECD:DF_EO114_LTB(1.0),FRA,GDP,S0,A,2059,8738237000000,A,,,
OECD:DF_EO114_LTB(1.0),FRA,GDP,S1,A,2059,8583980000000,A,,,
OECD:DF_EO114_LTB(1.0),DEU,GDP,S0,A,2059,12602430000000,A,,,
OECD:DF_EO114_LTB(1.0),DEU,GDP,S1,A,2059,12224330000000,A,,,
OECD:DF_EO114_LTB(1.0),GRC,GDP,S0,A,2059,757527200000,A,,,
OECD:DF_EO114_LTB(1.0),GRC,GDP,S1,A,2059,712094500000,A,,,
OECD:DF_EO114_LTB(1.0),HUN,GDP,S0,A,2059,421190300000000,A,,,
OECD:DF_EO114_LTB(1.0),HUN,GDP,S1,A,2059,394677100000000,A,,,
OECD:DF_EO114_LTB(1.0),ISL,GDP,S0,A,2059,24539010000000,A,,,
OECD:DF_EO114_LTB(1.0),ISL,GDP,S1,A,2059,24091230000000,A,,,
OECD:DF_EO114_LTB(1.0),IRL,GDP,S0,A,2059,1836844000000,A,,,
OECD:DF_EO114_LTB(1.0),IRL,GDP,S1,A,2059,1779217000000,A,,,
OECD:DF_EO114_LTB(1.0),ITA,GDP,S0,A,2059,6399682000000,A,,,
OECD:DF_EO114_LTB(1.0),ITA,GDP,S1,A,2059,6270777000000,A,,,
OECD:DF_EO114_LTB(1.0),JPN,GDP,S0,A,2059,1789906000000000,A,,,
OECD:DF_EO114_LTB(1.0),JPN,GDP,S1,A,2059,1714336000000000,A,,,
OECD:DF_EO114_LTB(1.0),KOR,GDP,S0,A,2059,6916856000000000,A,,,
OECD:DF_EO114_LTB(1.0),KOR,GDP,S1,A,2059,6837824000000000,A,,,
OECD:DF_EO114_LTB(1.0),LUX,GDP,S0,A,2059,318775500000,A,,,
OECD:DF_EO114_LTB(1.0),LUX,GDP,S1,A,2059,294918600000,A,,,
OECD:DF_EO114_LTB(1.0),MEX,GDP,S0,A,2059,239987100000000,A,,,
OECD:DF_EO114_LTB(1.0),MEX,GDP,S1,A,2059,222503800000000,A,,,
OECD:DF_EO114_LTB(1.0),NLD,GDP,S0,A,2059,3451395000000,A,,,
OECD:DF_EO114_LTB(1.0),NLD,GDP,S1,A,2059,3285646000000,A,,,
OECD:DF_EO114_LTB(1.0),NZL,GDP,S0,A,2059,1833183000000,A,,,
OECD:DF_EO114_LTB(1.0),NZL,GDP,S1,A,2059,1814705000000,A,,,
OECD:DF_EO114_LTB(1.0),NOR,GDP,S0,A,2059,18222850000000,A,,,
OECD:DF_EO114_LTB(1.0),NOR,GDP,S1,A,2059,14762030000000,A,,,
OECD:DF_EO114_LTB(1.0),POL,GDP,S0,A,2059,14191260000000,A,,,
OECD:DF_EO114_LTB(1.0),POL,GDP,S1,A,2059,13528650000000,A,,,
OECD:DF_EO114_LTB(1.0),PRT,GDP,S0,A,2059,900002800000,A,,,
OECD:DF_EO114_LTB(1.0),PRT,GDP,S1,A,2059,880041900000,A,,,
OECD:DF_EO114_LTB(1.0),SVK,GDP,S0,A,2059,390834500000,A,,,
OECD:DF_EO114_LTB(1.0),SVK,GDP,S1,A,2059,381671300000,A,,,
OECD:DF_EO114_LTB(1.0),ESP,GDP,S0,A,2059,4592369000000,A,,,
OECD:DF_EO114_LTB(1.0),ESP,GDP,S1,A,2059,4485053000000,A,,,
OECD:DF_EO114_LTB(1.0),SWE,GDP,S0,A,2059,26581110000000,A,,,
OECD:DF_EO114_LTB(1.0),SWE,GDP,S1,A,2059,26460550000000,A,,,
OECD:DF_EO114_LTB(1.0),CHE,GDP,S0,A,2059,2392410000000,A,,,
OECD:DF_EO114_LTB(1.0),CHE,GDP,S1,A,2059,2325325000000,A,,,
OECD:DF_EO114_LTB(1.0),TUR,GDP,S0,A,2059,713177700000000,A,,,
OECD:DF_EO114_LTB(1.0),TUR,GDP,S1,A,2059,656139700000000,A,,,
OECD:DF_EO114_LTB(1.0),GBR,GDP,S0,A,2059,9959948000000,A,,,
OECD:DF_EO114_LTB(1.0),GBR,GDP,S1,A,2059,9776326000000,A,,,
OECD:DF_EO114_LTB(1.0),USA,GDP,S0,A,2059,92239040000000,A,,,
OECD:DF_EO114_LTB(1.0),USA,GDP,S1,A,2059,88790160000000,A,,,
OECD:DF_EO114_LTB(1.0),G7M,GDP,S0,A,2059,168280700000000,A,,,
OECD:DF_EO114_LTB(1.0),G7M,GDP,S1,A,2059,162587500000000,A,,,
OECD:DF_EO114_LTB(1.0),ARG,GDP,S0,A,2059,9944657000000000,A,,,
OECD:DF_EO114_LTB(1.0),ARG,GDP,S1,A,2059,8436629000000000,A,,,
OECD:DF_EO114_LTB(1.0),BRA,GDP,S0,A,2059,90045110000000,A,,,
OECD:DF_EO114_LTB(1.0),BRA,GDP,S1,A,2059,84347470000000,A,,,
OECD:DF_EO114_LTB(1.0),BGR,GDP,S0,A,2059,810773800000,A,,,
OECD:DF_EO114_LTB(1.0),BGR,GDP,S1,A,2059,767098600000,A,,,
OECD:DF_EO114_LTB(1.0),CHL,GDP,S0,A,2059,1874947000000000,A,,,
OECD:DF_EO114_LTB(1.0),CHL,GDP,S1,A,2059,1812947000000000,A,,,
OECD:DF_EO114_LTB(1.0),CHN,GDP,S0,A,2059,746525500000000,A,,,
OECD:DF_EO114_LTB(1.0),CHN,GDP,S1,A,2059,689327400000000,A,,,
OECD:DF_EO114_LTB(1.0),COL,GDP,S0,A,2059,12820020000000000,A,,,
OECD:DF_EO114_LTB(1.0),COL,GDP,S1,A,2059,11127090000000000,A,,,
OECD:DF_EO114_LTB(1.0),CRI,GDP,S0,A,2059,318981500000000,A,,,
OECD:DF_EO114_LTB(1.0),CRI,GDP,S1,A,2059,314246700000000,A,,,
OECD:DF_EO114_LTB(1.0),HRV,GDP,S0,A,2059,255875000000,A,,,
OECD:DF_EO114_LTB(1.0),HRV,GDP,S1,A,2059,245154000000,A,,,
OECD:DF_EO114_LTB(1.0),EST,GDP,S0,A,2059,151114300000,A,,,
OECD:DF_EO114_LTB(1.0),EST,GDP,S1,A,2059,141189600000,A,,,
OECD:DF_EO114_LTB(1.0),IND,GDP,S0,A,2059,5524130000000000,A,,,
OECD:DF_EO114_LTB(1.0),IND,GDP,S1,A,2059,4893528000000000,A,,,
OECD:DF_EO114_LTB(1.0),IDN,GDP,S0,A,2059,2.085305E+17,A,,,
OECD:DF_EO114_LTB(1.0),IDN,GDP,S1,A,2059,1.880069E+17,A,,,
OECD:DF_EO114_LTB(1.0),ISR,GDP,S0,A,2059,10833430000000,A,,,
OECD:DF_EO114_LTB(1.0),ISR,GDP,S1,A,2059,10710820000000,A,,,
OECD:DF_EO114_LTB(1.0),LVA,GDP,S0,A,2059,117709800000,A,,,
OECD:DF_EO114_LTB(1.0),LVA,GDP,S1,A,2059,112239700000,A,,,
OECD:DF_EO114_LTB(1.0),LTU,GDP,S0,A,2059,213983500000,A,,,
OECD:DF_EO114_LTB(1.0),LTU,GDP,S1,A,2059,208706600000,A,,,
OECD:DF_EO114_LTB(1.0),ROU,GDP,S0,A,2059,6631658000000,A,,,
OECD:DF_EO114_LTB(1.0),ROU,GDP,S1,A,2059,6273424000000,A,,,
OECD:DF_EO114_LTB(1.0),SVN,GDP,S0,A,2059,225954500000,A,,,
OECD:DF_EO114_LTB(1.0),SVN,GDP,S1,A,2059,218849800000,A,,,
OECD:DF_EO114_LTB(1.0),ZAF,GDP,S0,A,2059,84874940000000,A,,,
OECD:DF_EO114_LTB(1.0),ZAF,GDP,S1,A,2059,71260080000000,A,,,
OECD:DF_EO114_LTB(1.0),G20,GDP,S0,A,2059,953483200000000,A,,,
OECD:DF_EO114_LTB(1.0),G20,GDP,S1,A,2059,855251400000000,A,,,
OECD:DF_EO114_LTB(1.0),EA17,GDP,S0,A,2059,45146830000000,A,,,
OECD:DF_EO114_LTB(1.0),EA17,GDP,S1,A,2059,43935100000000,A,,,
OECD:DF_EO114_LTB(1.0),OECD,GDP,S0,A,2059,347463600000000,A,,,
OECD:DF_EO114_LTB(1.0),OECD,GDP,S1,A,2059,332367200000000,A,,,
OECD:DF_EO114_LTB(1.0),G20ADV,GDP,S0,A,2059,186526500000000,A,,,
OECD:DF_EO114_LTB(1.0),G20ADV,GDP,S1,A,2059,180192800000000,A,,,
OECD:DF_EO114_LTB(1.0),G20EME,GDP,S0,A,2059,909595600000000,A,,,
OECD:DF_EO114_LTB(1.0),G20EME,GDP,S1,A,2059,792426800000000,A,,,
OECD:DF_EO114_LTB(1.0),OECDG20,GDP,S0,A,2059,1004086000000000,A,,,
OECD:DF_EO114_LTB(1.0),OECDG20,GDP,S1,A,2059,905119500000000,A,,,
OECD:DF_EO114_LTB(1.0),AUS,GDP,S0,A,2057,14145820000000,A,,,
OECD:DF_EO114_LTB(1.0),AUS,GDP,S1,A,2057,13377870000000,A,,,
OECD:DF_EO114_LTB(1.0),AUT,GDP,S0,A,2057,1524815000000,A,,,
OECD:DF_EO114_LTB(1.0),AUT,GDP,S1,A,2057,1498429000000,A,,,
OECD:DF_EO114_LTB(1.0),BEL,GDP,S0,A,2057,1812251000000,A,,,
OECD:DF_EO114_LTB(1.0),BEL,GDP,S1,A,2057,1762517000000,A,,,
OECD:DF_EO114_LTB(1.0),CAN,GDP,S0,A,2057,10655680000000,A,,,
OECD:DF_EO114_LTB(1.0),CAN,GDP,S1,A,2057,10139680000000,A,,,
OECD:DF_EO114_LTB(1.0),CZE,GDP,S0,A,2057,25067490000000,A,,,
OECD:DF_EO114_LTB(1.0),CZE,GDP,S1,A,2057,24321810000000,A,,,
OECD:DF_EO114_LTB(1.0),DNK,GDP,S0,A,2057,8345299000000,A,,,
OECD:DF_EO114_LTB(1.0),DNK,GDP,S1,A,2057,8065984000000,A,,,
OECD:DF_EO114_LTB(1.0),FIN,GDP,S0,A,2057,840393500000,A,,,
OECD:DF_EO114_LTB(1.0),FIN,GDP,S1,A,2057,830715700000,A,,,
OECD:DF_EO114_LTB(1.0),FRA,GDP,S0,A,2057,8204450000000,A,,,
OECD:DF_EO114_LTB(1.0),FRA,GDP,S1,A,2057,8063181000000,A,,,
OECD:DF_EO114_LTB(1.0),DEU,GDP,S0,A,2057,11840940000000,A,,,
OECD:DF_EO114_LTB(1.0),DEU,GDP,S1,A,2057,11492160000000,A,,,
OECD:DF_EO114_LTB(1.0),GRC,GDP,S0,A,2057,711188300000,A,,,
OECD:DF_EO114_LTB(1.0),GRC,GDP,S1,A,2057,669487100000,A,,,
OECD:DF_EO114_LTB(1.0),HUN,GDP,S0,A,2057,386620300000000,A,,,
OECD:DF_EO114_LTB(1.0),HUN,GDP,S1,A,2057,362931000000000,A,,,
OECD:DF_EO114_LTB(1.0),ISL,GDP,S0,A,2057,22529940000000,A,,,
OECD:DF_EO114_LTB(1.0),ISL,GDP,S1,A,2057,22129750000000,A,,,
OECD:DF_EO114_LTB(1.0),IRL,GDP,S0,A,2057,1727256000000,A,,,
OECD:DF_EO114_LTB(1.0),IRL,GDP,S1,A,2057,1673760000000,A,,,
OECD:DF_EO114_LTB(1.0),ITA,GDP,S0,A,2057,6004063000000,A,,,
OECD:DF_EO114_LTB(1.0),ITA,GDP,S1,A,2057,5885222000000,A,,,
OECD:DF_EO114_LTB(1.0),JPN,GDP,S0,A,2057,1680000000000000,A,,,
OECD:DF_EO114_LTB(1.0),JPN,GDP,S1,A,2057,1610412000000000,A,,,
OECD:DF_EO114_LTB(1.0),KOR,GDP,S0,A,2057,6602602000000000,A,,,
OECD:DF_EO114_LTB(1.0),KOR,GDP,S1,A,2057,6529488000000000,A,,,
OECD:DF_EO114_LTB(1.0),LUX,GDP,S0,A,2057,300875300000,A,,,
OECD:DF_EO114_LTB(1.0),LUX,GDP,S1,A,2057,278845800000,A,,,
OECD:DF_EO114_LTB(1.0),MEX,GDP,S0,A,2057,216705500000000,A,,,
OECD:DF_EO114_LTB(1.0),MEX,GDP,S1,A,2057,201007300000000,A,,,
OECD:DF_EO114_LTB(1.0),NLD,GDP,S0,A,2057,3241693000000,A,,,
OECD:DF_EO114_LTB(1.0),NLD,GDP,S1,A,2057,3088540000000,A,,,
OECD:DF_EO114_LTB(1.0),NZL,GDP,S0,A,2057,1702404000000,A,,,
OECD:DF_EO114_LTB(1.0),NZL,GDP,S1,A,2057,1685609000000,A,,,
OECD:DF_EO114_LTB(1.0),NOR,GDP,S0,A,2057,17072200000000,A,,,
OECD:DF_EO114_LTB(1.0),NOR,GDP,S1,A,2057,13875090000000,A,,,
OECD:DF_EO114_LTB(1.0),POL,GDP,S0,A,2057,13308790000000,A,,,
OECD:DF_EO114_LTB(1.0),POL,GDP,S1,A,2057,12697070000000,A,,,
OECD:DF_EO114_LTB(1.0),PRT,GDP,S0,A,2057,844016600000,A,,,
OECD:DF_EO114_LTB(1.0),PRT,GDP,S1,A,2057,825520300000,A,,,
OECD:DF_EO114_LTB(1.0),SVK,GDP,S0,A,2057,369646400000,A,,,
OECD:DF_EO114_LTB(1.0),SVK,GDP,S1,A,2057,361291200000,A,,,
OECD:DF_EO114_LTB(1.0),ESP,GDP,S0,A,2057,4302017000000,A,,,
OECD:DF_EO114_LTB(1.0),ESP,GDP,S1,A,2057,4203590000000,A,,,
OECD:DF_EO114_LTB(1.0),SWE,GDP,S0,A,2057,24699250000000,A,,,
OECD:DF_EO114_LTB(1.0),SWE,GDP,S1,A,2057,24598510000000,A,,,
OECD:DF_EO114_LTB(1.0),CHE,GDP,S0,A,2057,2254958000000,A,,,
OECD:DF_EO114_LTB(1.0),CHE,GDP,S1,A,2057,2192570000000,A,,,
OECD:DF_EO114_LTB(1.0),TUR,GDP,S0,A,2057,628338700000000,A,,,
OECD:DF_EO114_LTB(1.0),TUR,GDP,S1,A,2057,579551400000000,A,,,
OECD:DF_EO114_LTB(1.0),GBR,GDP,S0,A,2057,9299041000000,A,,,
OECD:DF_EO114_LTB(1.0),GBR,GDP,S1,A,2057,9131655000000,A,,,
OECD:DF_EO114_LTB(1.0),USA,GDP,S0,A,2057,86791080000000,A,,,
OECD:DF_EO114_LTB(1.0),USA,GDP,S1,A,2057,83619010000000,A,,,
OECD:DF_EO114_LTB(1.0),G7M,GDP,S0,A,2057,158023900000000,A,,,
OECD:DF_EO114_LTB(1.0),G7M,GDP,S1,A,2057,152788800000000,A,,,
OECD:DF_EO114_LTB(1.0),ARG,GDP,S0,A,2057,8607361000000000,A,,,
OECD:DF_EO114_LTB(1.0),ARG,GDP,S1,A,2057,7324661000000000,A,,,
OECD:DF_EO114_LTB(1.0),BRA,GDP,S0,A,2057,80141790000000,A,,,
OECD:DF_EO114_LTB(1.0),BRA,GDP,S1,A,2057,75131970000000,A,,,
OECD:DF_EO114_LTB(1.0),BGR,GDP,S0,A,2057,753881000000,A,,,
OECD:DF_EO114_LTB(1.0),BGR,GDP,S1,A,2057,713971800000,A,,,
OECD:DF_EO114_LTB(1.0),CHL,GDP,S0,A,2057,1700476000000000,A,,,
OECD:DF_EO114_LTB(1.0),CHL,GDP,S1,A,2057,1645071000000000,A,,,
OECD:DF_EO114_LTB(1.0),CHN,GDP,S0,A,2057,689820000000000,A,,,
OECD:DF_EO114_LTB(1.0),CHN,GDP,S1,A,2057,637770500000000,A,,,
OECD:DF_EO114_LTB(1.0),COL,GDP,S0,A,2057,11596970000000000,A,,,
OECD:DF_EO114_LTB(1.0),COL,GDP,S1,A,2057,10097140000000000,A,,,
OECD:DF_EO114_LTB(1.0),CRI,GDP,S0,A,2057,293126300000000,A,,,
OECD:DF_EO114_LTB(1.0),CRI,GDP,S1,A,2057,288772000000000,A,,,
OECD:DF_EO114_LTB(1.0),HRV,GDP,S0,A,2057,244377500000,A,,,
OECD:DF_EO114_LTB(1.0),HRV,GDP,S1,A,2057,234294000000,A,,,
OECD:DF_EO114_LTB(1.0),EST,GDP,S0,A,2057,141633400000,A,,,
OECD:DF_EO114_LTB(1.0),EST,GDP,S1,A,2057,132506900000,A,,,
OECD:DF_EO114_LTB(1.0),IND,GDP,S0,A,2057,4825570000000000,A,,,
OECD:DF_EO114_LTB(1.0),IND,GDP,S1,A,2057,4286188000000000,A,,,
OECD:DF_EO114_LTB(1.0),IDN,GDP,S0,A,2057,1.867371E+17,A,,,
OECD:DF_EO114_LTB(1.0),IDN,GDP,S1,A,2057,1.68706E+17,A,,,
